query,correct_answer,correct_sources
защитник,"«Защитник» — это набор сервисов для вашей цифровой безопасности.
Бесплатные функции:
- Подскажет текущий уровень безопасности и за последнюю неделю
- Покажет спам-звонки и звонки от мошенников за последние 30 дней
- Определитель номера предупредит, когда звонят с надёжного номера, и когда возможен спам
- Поиск утечек проверит, нет ли в сети ваших личных данных. Если найдёт утечку, подскажет источник и расскажет, как защититься от мошенников
- Функция проверки номеров поможет узнать, безопасен звонок с незнакомого номера или это спам.

Платные сервисы
- «Защитник» определит, с какого номера звонят, если это спамер или возможный мошенник — ответит за вас, запишет разговор и пришлёт расшифровку
- «Безопасный звонок» предупредит о разговоре с возможным мошенником прямо во время звонка, звуковое уведомление услышите только вы
- «Страхование от мошенников» поможет вернуть до 1,5 миллионов рублей, если их украли мошенники
При первом подключении услуга бесплатная 7 дней, затем — 149 ₽/мес для актуальных тарифов и 199 ₽/мес для архивных тарифов. В актуальной версии тарифа «МТС Супер» услуга доступна для подключения без доплат.

Пользоваться и управлять всеми возможностями сервиса «Защитник» вы можете в приложении Мой МТС. Виджет Защитник находится на главном экране в аккаунте вашего основного номера. Если вы управляете несколькими номерами, проследите, что вы вошли в Мой МТС под вашим основным номером.

","https://support.mts.ru/zaschitnik/obschaya-informatsiya-o-zaschitnike/chem-polezen-zaschitnik
https://support.mts.ru/zaschitnik/zaschitnik/kak-podklyuchit-zaschitnik-plyus"
Изменится ли тариф при смене владельца,"При переоформлении номера на другого человека тариф не изменится. Однако отключатся все скидки, лимиты на связь и покупки, автоплатежи, а также некоторые услуги. Новый владелец сможет распоряжаться только теми услугами и тарифами, которые доступны ему.",https://support.mts.ru/mymts/zamena-sim-karti/kak-pereoformit-nomer-na-drugogo-cheloveka
Исправить паспортные данные,"Чтобы исправить паспортные данные, вы можете воспользоваться несколькими способами:
1. Через Госуслуги:
 Перейдите на сайт Госуслуг и следуйте инструкциям для подтверждения данных.
2. По фото паспорта:
 Сфотографируйте разворот паспорта и загрузите его в систему МТС ID. Убедитесь, что фото четкое и без бликов.
3. Через Т-Банк:
 Используйте сервис Т-Банка для подтверждения данных.
4. С помощью Alfa ID:
 Подтвердите данные через Alfa ID.
5. С помощью Сбер ID:
 Используйте Сбер ID для подтверждения данных.",https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/kak-podtverdit-dannie-v-mts-id
История звонков,"Посмотреть детализацию звонков за нужный период можно в отчёте по расходам. В нём вы найдёте все даты и суммы списаний и пополнений, список всех звонков, интернет-сессий и СМС.

Что показывает детализация звонков:
- дату и время звонка
- входящий он был или исходящий
- номер телефона, с которого звонили или на который звонили
- сколько длился разговор
- сколько стоил звонок

Распечатку звонков можно бесплатно скачать или получить на email в приложении Мой МТС или в Личном кабинете. Как это сделать:
В приложении Мой МТС:
1. Откройте раздел Расходы.
2. Нажмите на Детализация.
3. Выберите Отчёт по расходам.
4. Укажите период и формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Чтобы получить документ на email, введите свой адрес и нажмите Отправить на email.
В Личном кабинете:
1. Перейдите в раздел Расходы.
2. Нажмите на Детализация и счёт.
3. Выберите нужный период.
4. Укажите формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Для получения документа на email наберите адрес и нажмите Отправить на email.
Обратите внимание, что детализацию давностью от полугода до трёх лет можно получить только на email.
",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-sdelat-detalizatsiyu-zvonkov
как вывести деньги с мобильного мтс,"Есть несколько способов перевести деньги с номера МТС на банковскую карту:
В приложении Мой МТС:
1. На главном экране нажмите на сумму баланса
2. Нажмите Оплатить и перевести
3. Выберите По номеру карты
4. В поле «Списать с» выберите Личный кабинет МТС Оплата и нажмите Войти
5. Войдите в Личный кабинет МТС Оплата по номеру телефона, с которого хотите перевести деньги
6. Напишите номер карты, которую хотите пополнить, и сумму перевода. В поле «Списать с» выберите свой номер телефона, с которого хотите перевести деньги. Размер комиссии вы увидите перед переводом после того, как заполните все поля. Нажмите Перевести7. Вам придёт СМС с кодом. Введите его, чтобы подтвердить перевод

В Личном кабинете на сайте МТС Оплата:
 1. Войдите в Личный кабинет на сайте МТС Оплата по номеру, с которого хотите перевести деньги
 2. Нажмите Мой телефон
 3. Выберите Перевести
 4. Выберите На карту. Напишите номер карты, которую хотите пополнить, и сумму перевода. Размер комиссии вы увидите перед переводом после того, как заполните все поля. Нажмите Перевести
5. Вам придёт СМС с кодом. Введите его, чтобы подтвердить перевод

С помощью команды *115#
 1. Наберите команду *115#, следуйте подсказкам и выбирайте нужное действие, вводя цифру, которая ему соответствует
 2. Для перевода на банковскую карту выберите Переводы. Для этого введите 3 и нажмите Отправить
 3. Затем выберите пункт На банк. карту
 4. Введите номер карты
 6. Напишите сумму перевода
 7. Выберите источник перевода: Мой телефон
 8. Вам придёт СМС с номера 1212 с суммой платежа вместе с комиссией. Чтобы подтвердить операцию, в ответ отправьте СМС с любым текстом
 9. После перевода вы получите СМС с подтверждением того, что он выполнен",https://support.mts.ru/mts_mobilnaya_svyaz/oplata-i-perevodi-s-nomera-telefona/kak-perevesti-dengi-s-nomera-mts-na-bankovskuyu-kartu
Как заменить обычную симку на e-sim,"Это можно сделать бесплатно:
- онлайн, если у вас есть подтверждённая учётная запись на Госуслугах
- в салоне экосистемы МТС с паспортом

Как заменить онлайн
Менять SIM-карту на eSIM онлайн можно не чаще, чем раз в 30 дней. Перед оформлением замены:
- приготовьте телефон с действующей SIM-картой, на ваш номер мы пришлём СМС с кодом для подтверждения замены. - Проверьте, что номер не заблокирован
- подключитесь к Wi-Fi, так как во время перехода на eSIM пластиковая SIM-карта перестанет работать и мобильный интернет отключится
Советуем перенести контакты с SIM-карты на телефон, они могут не сохраниться.

Перейти на eSIM онлайн можно двумя способами:
В приложении Мой МТС
1. Перейдите в раздел Каталог
2. Выберите Номер и SIM-карта МТС
3. Выберите Оформить eSIM
4. Нажмите Заменить SIM-карту на eSIM
5. Нажмите Перейти на eSIM
6. Нажмите Подтвердить через Госуслуги
7. Войдите в свой профиль на Госуслугах, чтобы мы проверили ваши персональные данные
8. Нажмите Предоставить
9. Введите email, на который мы пришлём QR-код для активации eSIM. Подпишите заявление на замену
10. Если этот email ещё не был подтвержден в профиле МТС ID, то на него придёт письмо с кодом. Введите код из письма для подтверждения email и нажмите Подтвердить
11. На ваш номер придёт СМС с кодом для подтверждения замены SIM на eSIM. Введите его и нажмите Подтвердить
12. SIM-карта отключится, а на почту придёт письмо с инструкцией по активации eSIM и QR-кодом. О дальнейших действиях рассказываем в статье Как активировать eSIM

В первые 24 часа после замены SIM-карты могут быть ограничены отправка и получение СМС. Это мера безопасности для защиты баланса номера и привязанных к нему сервисов, включая банковские приложения и Госуслуги. ",https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-zamenit-plastikovuyu-sim-kartu-na-esim
отключить,"Слишком широкий запрос. Возможно вы имели в виду:
Как отключить услуги мобильной связи
Как отключить подписку МТС Premium
Как отключить подписку KION
Как отключить подписку на МТС Музыку","https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/copy-of-kak-proverit-podklyuchennyye-uslugi
https://support.mts.ru/mts-premium/upravlenie-podpiskoi/kak-otklyuchit-mts-premium
https://support.mts.ru/kion/upravlenie-podpiskoi-i-aktivatsiya-promokoda/kak-otklyuchit-podpisku-kion
https://support.mts.ru/mts_mts_muzyka/podpiska-na-mts-muziku/otklyuchenie-avtoprodleniya-podpiski"
Как отключить подписку,"Слишком широкий запрос. Возможно вы имели в виду:
Как отключить услуги мобильной связи
Как отключить подписку МТС Premium
Как отключить подписку KION
Как отключить подписку на МТС Музыку","https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/copy-of-kak-proverit-podklyuchennyye-uslugi
https://support.mts.ru/mts-premium/upravlenie-podpiskoi/kak-otklyuchit-mts-premium
https://support.mts.ru/kion/upravlenie-podpiskoi-i-aktivatsiya-promokoda/kak-otklyuchit-podpisku-kion
https://support.mts.ru/mts_mts_muzyka/podpiska-na-mts-muziku/otklyuchenie-avtoprodleniya-podpiski"
Как отключить премиум,"Подписку можно отключить только там, где вы её подключали. Она отключается не сразу, а в течение 5 минут. Когда всё будет готово, вы получите СМС. Привилегии МТС Premium останутся с вами до конца периода, за который вы уже заплатили. Когда оплаченный период закончится подписка отключится полностью и привилегии будут недоступны.

Отключить подписку:
В приложении Мой МТС
На сайте МТС Premium
В приложении МТС Юрент, KION или другом сервисе экосистемы МТС

Если не удалось отключить подписку по инструкциям, позвоните нам по номеру 8 800 250-09-30. Мы поможем.",https://support.mts.ru/mts-premium/upravlenie-podpiskoi/kak-otklyuchit-mts-premium
Как перейти на архивный тариф,"К сожалению, вернуться на архивный тариф невозможно. Если ваш старый тариф был архивным, вы не сможете на него перейти.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-vibrat-tarif-bez-abonentskoi-plati-i-bez-interneta
Как удалить аккаунт,Не удалось найти достоверную информацию по данному вопросу в Справке. Попробуйте переформулировать вопрос,-
Карта,"Слишком широкий запрос. Возможно вы имели в виду:
Как оформить дебетовую карту
Как оформить кредитную карту
Как заблокировать карту 
Как перевыпустить карту
Как закрыть карту","https://support.mts.ru/prilozhenie_mts_bank/karti/kak-oformit-debetovuyu-kartu
https://support.mts.ru/prilozhenie_mts_bank/karti/kak-oformit-kreditnuyu-kartu
https://support.mts.ru/prilozhenie_mts_bank/karti/kak-zablokirovat-kartu
https://support.mts.ru/debetovie_karti/perevipusk-karti/kak-perevipustit-kartu
https://support.mts.ru/prilozhenie_mts_bank/karti/kak-zakrit-kartu"
Кешбек,"Слишком широкий запрос. Возможно вы имели в виду:
Что такое кешбэк в МТС и как его получить
На что можно потратить кешбэк
Сколько действует и когда сгорает накопленный кешбэк
Кешбэк по карте MTS CASHBACK","https://support.mts.ru/mts_cashback/poluchit-keshbek/chto-takoe-keshbek-v-mts-i-kak-ego-poluchit
https://support.mts.ru/mts_cashback/potratit-keshbek/na-chto-mozhno-potratit-keshbek
https://support.mts.ru/mts_cashback/srok-deistviya-nakoplennogo-keshbeka/skolko-deistvuet-i-kogda-sgoraet-nakoplennii-keshbek
https://support.mts.ru/mts_cashback/karta-mts-cashback-169/kakoi-keshbek-po-karte"
Кион,"KION — это сервис, который позволяет смотреть ТВ, любимые сериалы и фильмы на смартфоне, планшете, компьютере, на Smart TV и ТВ-приставках.

20 федеральных каналов доступны бесплатно. Чтобы смотреть другие, а также фильмы и сериалы, купите их или подключите подписку.

KION можно пользоваться с SIM-картой любого российского оператора. Если вы войдёте в KION с номером МТС, на котором сервис уже подключён — сможете пользоваться им в сети другого оператора. Трафик будет расходоваться по вашему тарифу.",https://support.mts.ru/kion/chto-takoe-kion/chto-takoe-kion
Когда наладится каналы НТВ,"Если у вас возникли проблемы с трансляцией каналов, в том числе НТВ, рекомендуется Cбросить список каналов и запустить поиск заново. Для этого:
1. Откройте меню ТВ-приставки кнопкой на пульте управления
2. Перейдите в раздел Персональные настройки, он также может называться Установки. Названия разделов могут отличаться на разных моделях приставок
3. Выберите Очистить список каналов или Сброс каналов
4. Введите ПИН-код — по умолчанию 0000
5. Появится окно для подтверждения сброса списка каналов. Выберите кнопку Да на экране ТВ
6. Вы увидите предложение выполнить поиск каналов. Нажмите кнопку OK на пульте управления

Если у вас комплект с CAM-модулем, для поиска каналов используйте автопоиск в меню настроек телевизора. Обычно этот пункт может называться «Автонастройка», «Автопоиск» или Auto Tuning.

После сканирования вы увидите количество найденных каналов. Некоторые из них могут поменять своё место. Просмотрите весь список, чтобы найти нужный.",https://support.mts.ru/mts_stv/chasto-zadavaemie-voprosi/sboi-v-translyatsii-kanalov
Лимит на связь,"«Лимит на связь» — это услуга, позволяющая продолжать пользоваться мобильной связью, даже если баланс отрицательный. Вы можете звонить, отправлять сообщения и пользоваться интернетом, пока баланс не опустится ниже установленного лимита, который может составлять от 300 до 3000 ₽. Сумма лимита рассчитывается автоматически на основе ваших расходов, срока обслуживания и других факторов. 

Лимит пересчитывается каждый месяц и может изменяться в зависимости от использования связи.

Управлять лимитом удобнее всего через приложение Мой МТС. Чтобы подключить услугу, нужно выполнить несколько шагов в приложении. Однако, если у вас есть задолженность или вы пользуетесь номером менее трех месяцев, услуга может быть недоступна.

Подробнее об услуге «Лимит» на сайте [https://mts.ru/personal/mobilnaya-svyaz/uslugi/mobilnaya-svyaz/limit]",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/limit-na-svyaz
Можно вернуться на прежний тариф,"Вернуться на прежний тариф невозможно, если он был архивным. При переходе на другой тариф сгорают непотраченные пакеты по старому тарифу и скидка на абонентскую плату.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-vibrat-tarif-bez-abonentskoi-plati-i-bez-interneta
Настройки,"Слишком широкий запрос. Возможно вы имели в виду:
Как настроить интернет на телефоне
Ручная настройка каналов и возврат к заводским настройкам спутникового ТВ
","https://support.mts.ru/mts_mobilnyy_internet/novim-polzovatelyam/vozmozhnosti-i-stoimost
https://support.mts.ru/mts_stv/ustanovka-i-nastroika-oborudovaniya/ruchnaya-nastroika-kanalov-i-vozvrat-k-zavodskim-nastroikam"
Не верно указана прописка,"Чтобы исправить паспортные данные, вы можете воспользоваться несколькими способами:
1. Через Госуслуги:
 Перейдите на сайт Госуслуг и следуйте инструкциям для подтверждения данных.
2. По фото паспорта:
 Сфотографируйте разворот паспорта и загрузите его в систему МТС ID. Убедитесь, что фото четкое и без бликов.
3. Через Т-Банк:
 Используйте сервис Т-Банка для подтверждения данных.
4. С помощью Alfa ID:
 Подтвердите данные через Alfa ID.
5. С помощью Сбер ID:
 Используйте Сбер ID для подтверждения данных.",https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/kak-podtverdit-dannie-v-mts-id
Не видит сим карту,"Если телефон не считывает SIM-карту, перезагрузите его. 
Ещё несколько возможных причин и простых советов:
- если на телефоне включён авиарежим, отключите его в настройках телефона
- если вы более шести месяцев не пользовались номером, узнайте о порядке действий в статье Блокировка из-за долгого неиспользования номера
- если SIM-карта перестала работать при выезде за границу, возможно, на номере не подключен роуминг. О его проверке и подключении читайте в статье Как подключить услуги для доступа к связи и интернету в роуминге

Ничего не помогло — проверьте SIM-карту в другом телефоне. Если и в нём она не работает, замените её — о процедуре рассказываем в статье Как заменить SIM-карту [https://l.mts.ru/zamenasim]",https://support.mts.ru/mts_mobilnaya_svyaz/zamena-nomera-ili-sim-karti-i-pereoformlenie/chto-delat-esli-ne-rabotaet-sim-karta-net-seti
Не даёт оплатить apple id,"Оплата в App Store может не проходить, если:
- по вашему номеру подключён запрет на платежи с баланса. Проверить и отключить его можно в Личном кабинете на сайте МТС Оплата: перейдите в раздел Мой телефон > Снять запрет
- в вашем профиле в Личном кабинете на сайте МТС Оплата отключено разрешение обработки персональных данных. Чтобы включить его, передвиньте переключатель на «Разрешена обработка персональных данных»
- на балансе нет нужной суммы
- у вас корпоративный номер. В таком случае вы можете платить в App Store с помощью электронного кошелька МТС

Если вы всё проверили, но пополнить Apple ID или заплатить в App Store всё равно не получается:
1. Удалите из учётной записи Apple ID текущий способ оплаты 
2. Добавьте его заново: Оплата и доставка > Изменить > Удалить способ оплаты «Мобильный телефон» со своим номером. 

Удалить номер телефона не получится, если это единственный способ оплаты. В этом случае: 
1. Добавьте в способы оплаты другой номер телефона. Важно, чтобы у вас был доступ к СМС, которая придёт на этот номер для подтверждения
2. Удалите ваш основной номер
3. Добавьте его снова

Если рекомендации не помогли, свяжитесь с нами:
- с номеров МТС по России в сети МТС и в сетях МТС Беларусь — 0890
- с городских телефонов и с мобильных других сотовых операторов — 8 800 250-08-90",https://support.mts.ru/mts_mobilnaya_svyaz/oplata-v-app-store-c-nomera-telefona/chto-delat-esli-ne-prohodit-oplata-s-nomera-telefona-v-app-store
Не законно списали деньги за смс,Не удалось найти достоверную информацию по данному вопросу в Справке. Попробуйте переформулировать вопрос,-
Не могу войти в приложение,"Решение проблем со входом в МТС ID:
Что делать, если забыл пароль для входа в МТС ID
Что делать, если на основной номер не приходит СМС с кодом для входа в МТС ID
Что делать, если на резервный номер не приходит СМС с кодом для входа в МТС ID
Что делать, если код для входа в МТС ID не приходит на email
Что делать, если аккаунт МТС ID временно заблокирован","https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-zabil-parol-dlya-vhoda-v-mts-id
https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-na-osnovnoi-nomer-ne-prihodit-sms-s-kodom-dlya-vhoda-v-mts-id
https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-na-rezervnii-nomer-ne-prihodit-sms-s-kodom-dlya-vhoda-v-mts-id
https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-kod-dlya-vhoda-v-mts-id-ne-prihodit-na-email
https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-akkaunt-mts-id-vremenno-zablokirovan
https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/pochemu-pri-vhode-v-mts-id-poroi-nuzhno-vvodit-simvoli-s-kartinki"
оплата бонусами,"С подпиской МТС Premium кешбэк можно тратить:

на оплату мобильной связи МТС и МГТС, в том числе и на тарифах с домашним интернетом и ТВ
на покупку товаров в интернет-магазине МТС и в салонах экосистемы МТС
на билеты в МТС Live и Ticketland
на установку мелодий вместо гудков на сайте МТС GOOD’OK
Все предложения указаны в разделе Потратить [https://cashback.mts.ru/spend]. Вывести кешбэк на банковскую карту нельзя. 

Без подписки МТС Premium кешбэк можно потратить только на благотворительность.

",https://support.mts.ru/mts_cashback/potratit-keshbek/na-chto-mozhno-potratit-keshbek
подписки,"Проверить подключенные подписки на номере можно следующими способами:
В приложении Мой МТС
1. На главном экране нажмите Подключённые услуги и сервисы
2. На открывшемся экране вы увидите:
- платные услуги и их стоимость, если такие подключены
- список бесплатных услуг
Нажмите на название услуги, чтобы открыть её описание или отключить
Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит.

В Личном кабинете:
 1. Перейдите в раздел Услуги > Подключённые 
 2. На открывшемся экране вы увидите:
- платные услуги и их стоимость, если такие подключены
- список бесплатных услуг
Для отключения справа от названия услуги нажмите Отключить
Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит.
",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-proverit-podklyuchennyye-uslugi
убрать мелодию со звонка,"Чтобы убрать мелодию со звонка, вы можете воспользоваться одним из следующих способов:
В приложении Мой МТС:
1. На главном экране нажмите Подключённые услуги и сервисы
2. Выберите МТС GOOD'OK в разделе Подключённые услуги связи
3. Нажмите Мои мелодии
4. Нажмите на мелодию, которую хотите удалить.
5. Нажмите Отключить

В Личном кабинете на сайте МТС GOOD’OK:
1. Перейдите в Личный кабинет сервиса > Мои мелодии
2. Выберите мелодию, которую хотите удалить.
3. Нажмите Удалить мелодию и подтвердите действие.

Также можно использовать команду:
Наберите *111*29# для отключения услуги GOOD'OK, что также приведет к удалению всех мелодий.",https://support.mts.ru/mts_goodok/populyarnyye-voprosy-115/kak-udalit-melodiyu
Услуги,"Проверить подключенные услуги на номере можно следующими способами:
В приложении Мой МТС
1. На главном экране нажмите Подключённые услуги и сервисы
2. На открывшемся экране вы увидите:
- платные услуги и их стоимость, если такие подключены
- список бесплатных услуг
Нажмите на название услуги, чтобы открыть её описание или отключить
Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит.

В Личном кабинете:
 1. Перейдите в раздел Услуги > Подключённые 
 2. На открывшемся экране вы увидите:
- платные услуги и их стоимость, если такие подключены
- список бесплатных услуг
Для отключения справа от названия услуги нажмите Отключить
Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит.
",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-proverit-podklyuchennyye-uslugi
E sim на др тел,"Перед загрузкой eSIM в другой телефон её нужно удалить с прежнего устройства, на котором она установлена:

если у вас сохранился прежний телефон, удалите eSIM в его настройках
если у вас нет доступа к прежнему телефону, замените eSIM на новую — она отключится от устройства автоматически. Как заменить eSIM, рассказываем в статье [https://l.mts.ru/poterya-esim]

Как удалить eSIM:
 1. Подключите устройство к интернету через Wi-Fi или к мобильному интернету другой SIM-карты
Не отключайте устройство от интернета и не выходите из меню до окончания удаления eSIM — иногда процесс идёт небыстро
 2. Отключите VPN, если он включен
 3. Зайдите в меню телефона для удаления eSIM
- на iOS: Настройки > Сотовая связь > Удалить eSIM
- на Android: Настройки > Подключения > Диспетчер SIM-карт > eSIM > Удалить
 4. После удаления eSIM подождите 1–2 минуты. Теперь eSIM можно загрузить в другое устройство — инструкция в статье Как активировать eSIM [https://l.mts.ru/aktivesim]",https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-perenesti-esim-v-novii-telefon
